"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"JP8,JP4,JP5,JP2,JP6,J16,J17,JP3,JP1,JP7";"PinHeader_1x02_P2.54mm_Vertical";10;"Jumper";;;
2;"F1";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";1;"Fuse";;;
3;"R43,R42,R6,R40,R4,R6,R5,R4,R7,R5,R41,R7,R8,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";14;"10k";;;
4;"U7,U9,U11,U8,U10";"DIP-4_W7.62mm";5;"PC817";;;
5;"J1,J1,J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";3;"Battery";;;
6;"H2,H3,H2,H6,H1,H4,H4,H7,H3,H5,H1,H8,H1";"MountingHole_3mm";13;"MountingHole";;;
7;"D1,D1,D3,D4,D1,D3";"D_DO-41_SOD81_P7.62mm_Horizontal";6;"1N4818";;;
8;"J6";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"END_STOP_1";;;
9;"J8,J8";"PinHeader_2x05_P2.54mm_Vertical";2;"SPI_Programming";;;
10;"J4,J4,J3,J4,J5,J5,J3";"PinHeader_1x01_P2.54mm_Vertical";7;"GND";;;
11;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"330";;;
12;"R23,R20,R31,R32";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"3.3K";;;
13;"D9,D12,D14,D10,D2,D2,D11,D16";"LED_D3.0mm";8;"LED";;;
14;"U1,U1,U1";"TO-220-3_Vertical";3;"L7805";;;
15;"R38,R24,R39,R25,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"470";;;
16;"C7,C8";"C_Disc_D4.7mm_W2.5mm_P5.00mm";2;"22pF";;;
17;"R12,R21,R12,R13,R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"1k";;;
18;"Q4,Q6";"TO-220-3_Vertical";2;"IRF520";;;
19;"HS4,HS2,HS3,HS1";"HeastSink_MOSFET_15mm_10mm_20mm";4;"Heatsink";;;
20;"R26,R34,R36,R29";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"1K";;;
21;"R27,R37,R30,R33";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"100k";;;
22;"J7,J7";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";2;"END_STOP_2";;;
23;"R16,R19,R1,R1,R16,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"270";;;
24;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100";;;
25;"J11";"PinHeader_1x04_P2.54mm_Vertical";1;"PinHeader_Control";;;
26;"D5,D7,D7,D6";"D_DO-35_SOD27_P7.62mm_Horizontal";4;"1N4148";;;
27;"Q7,Q2";"TO-92_Inline";2;"2N7000";;;
28;"U3,U3";"DIP-8_W7.62mm_Socket";2;"LM358";;;
29;"J13";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"+24V";;;
30;"J2,J2";"PinHeader_2x01_P2.54mm_Vertical";2;"Haeder_LED";;;
31;"D17,D8,D13";"D_DO-201AD_P15.24mm_Horizontal";3;"1N5408";;;
32;"SW2";"SW_PUSH_6mm_H8mm";1;"SW_E";;;
33;"C5,C9,C10,C6,C3,C3,C4";"C_Rect_L7.0mm_W2.0mm_P5.00mm";7;"100nF";;;
34;"C1,C1";"C_Rect_L7.0mm_W2.0mm_P5.00mm";2;"1nF";;;
35;"R14,R18,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"2.7k";;;
36;"D15";"TO-220-3_Vertical";1;"D_Dual_CommonCathode_AAK";;;
37;"R28,R35,R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"2.2K";;;
38;"U4";"DIP-16_W7.62mm_Socket";1;"74HC123";;;
39;"Q5,Q1,Q3";"TO-220-3_Vertical";3;"IRF4905";;;
40;"J12";"PinHeader_1x01_P2.54mm_Vertical";1;"Analog_Position";;;
41;"R3,R3,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"470k";;;
42;"C2,C2";"C_Radial_D5.0mm_H11.0mm_P2.00mm";2;"4.7uF";;;
43;"J10";"SMA_Molex_73251-1153_EdgeMount_Horizontal";1;"132134";;;
44;"C11";"C_Radial_D10.0mm_H20.0mm_P5.00mm";1;"20F";;;
45;"J14";"TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal";1;"Motor";;;
46;"R9,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"220";;;
47;"RV1";"Potentiometer_Bourns_3266Y_Vertical";1;"R_Potentiometer";;;
48;"U2,U2";"DIP-28_W7.62mm";2;"ATmega328P-P";;;
49;"SW3";"SW_PUSH_6mm_H8mm";1;"SW_B";;;
50;"SW5";"SW_PUSH_6mm";1;"SW_Push";;;
51;"U6";"ublox_NEO";1;"GK9501";;;
52;"Y1";"Crystal_HC49-4H_Vertical";1;"16MHz";;;
53;"J9";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Wind";;;
